sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
141192,900.15,5,โชกุบุซึ,Chogubuze,โชกุบุสซึสบุ่เหลวอนามัยพรีไบโอติก สูตรสดชื่น 60ml
718999,1198.5,26,โชกุบุซึ,Chogubuze,โชกุบุสซึโฟมล้างหน้า น้ำนมฮอกไกโด ซากุระ 100กรัม
718353,1854.7,5,โชกุบุซึ,Chogubuze,โชกุบุสซึโฟมสูตรเดลี่ดีท็อกซ์แอนด์ไบรท์เทนนิ่ง100ก
718361,1854.69,6,โชกุบุซึ,Chogubuze,โชกุบุสซึโฟมสูตรเดลี่ดีท็อกซ์แอนด์แอนตี้แอคเน่100ก
718379,1854.7,5,โชกุบุซึ,Chogubuze,โชกุบุสซึโฟมสูตรเดลี่ดีท็อกซ์แอนด์พอร์เลส100ก.
326298,2337.5,9,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงออรินุ่มพิเศษ แพ็ค3
326306,2070.92,13,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงออรินุ่มมาตรฐาน แพ็ค3
326397,2631.2,18,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงเอ็กซ์แอลนุ่มพิเศษ แพ็ค3
326405,2770.99,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงเอ็กซ์แอลนุ่มมาตรฐาน แพ็ค3
326512,3001.35,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงซุปเปอร์สไปรัลออริจินัล แพ็ค3
326553,2491.67,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงซุปเปอร์สไปรัลชาร์โคล แพ็ค3
320762,2729.41,5,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันXLมาตรฐานP3
320770,2771.0,57,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันXLพิเศษP3
320432,2487.95,75,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันจัดฟันโอดี-เอ็มP3
320440,2487.94,84,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันจัดฟันโอดี-เอสP3
326181,2771.0,35,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงสีฟันสลิมเทค แพ็ค3
326421,2771.0,51,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงเอ็กซ์แอลนุ่มมาตรฐาน แพ็ค3+1
326314,2210.71,104,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงออรินุ่มพิเศษ แพ็ค3แถม1
326322,2330.45,24,ซิสเท็มมา,Systema,ซิสเท็มมาแปรงออรินุ่มมาตรฐานแพ็ค3แถม1
